"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.RES:WEO(6.0.0)","HND.PPPEX.A","OBS_VALUE","Honduras","9.562","9.821","10.083","10.458","10.601","10.535","10.59","10.806","11.075","11.313"
"IMF.RES:WEO(6.0.0)","ATG.PPPEX.A","OBS_VALUE","Antigua and Barbuda","2.201","2.17","2.138","2.012","1.922","1.855","1.819","1.809","1.834","1.897"
"IMF.RES:WEO(6.0.0)","KHM.PPPEX.A","OBS_VALUE","Cambodia","1451.734","1460.792","1464.891","1468.922","1468.903","1433.769","1426.96","1378.817","1373.108","1380.354"
"IMF.RES:WEO(6.0.0)","MHL.PPPEX.A","OBS_VALUE","Marshall Islands, Republic of the","1.053","1.118","1.123","1.072","1.01","1.065","1.077","0.995","1.023","1.024"
"IMF.RES:WEO(6.0.0)","AGO.PPPEX.A","OBS_VALUE","Angola","65.864","78.862","95.837","111.442","124.44","146.909","174.091","191.999","210.203","265.193"
"IMF.RES:WEO(6.0.0)","BEL.PPPEX.A","OBS_VALUE","Belgium","0.768","0.775","0.776","0.766","0.736","0.716","0.706","0.698","0.701","0.703"
"IMF.RES:WEO(6.0.0)","SLV.PPPEX.A","OBS_VALUE","El Salvador","0.453","0.452","0.448","0.455","0.443","0.426","0.429","0.43","0.426","0.426"
"IMF.RES:WEO(6.0.0)","CZE.PPPEX.A","OBS_VALUE","Czech Republic","12.372","12.438","12.425","12.372","12.097","12.15","12.009","12.182","12.718","12.751"
"IMF.RES:WEO(6.0.0)","ARG.PPPEX.A","OBS_VALUE","Argentina","5.948","8.315","10.293","13.527","20.384","26.887","38.783","61.499","139.722","456.715"
"IMF.RES:WEO(6.0.0)","BGR.PPPEX.A","OBS_VALUE","Bulgaria","0.642","0.657","0.676","0.68","0.676","0.675","0.687","0.745","0.773","0.782"
"IMF.RES:WEO(6.0.0)","ALB.PPPEX.A","OBS_VALUE","Albania","43.072","42.397","42.255","42.303","40.55","40.21","40.594","41.631","42.01","42.027"
"IMF.RES:WEO(6.0.0)","PNG.PPPEX.A","OBS_VALUE","Papua New Guinea","2.156","2.189","2.316","2.486","2.472","2.479","2.653","2.859","2.685","2.773"
"IMF.RES:WEO(6.0.0)","AFG.PPPEX.A","OBS_VALUE","Afghanistan, Islamic Republic of","15.856","15.328","15.42","14.856","15.026","15.335","14.588","14.898","14.806",""
"IMF.RES:WEO(6.0.0)","AUT.PPPEX.A","OBS_VALUE","Austria","0.774","0.781","0.775","0.765","0.738","0.729","0.713","0.701","0.73","0.737"
"IMF.RES:WEO(6.0.0)","AZE.PPPEX.A","OBS_VALUE","Azerbaijan, Republic of","0.385","0.437","0.499","0.527","0.49","0.474","0.457","0.586","0.513","0.508"
"IMF.RES:WEO(6.0.0)","DMA.PPPEX.A","OBS_VALUE","Dominica","1.788","1.837","1.749","1.651","1.6","1.484","1.431","1.383","1.373","1.379"
"IMF.RES:WEO(6.0.0)","SUR.PPPEX.A","OBS_VALUE","Suriname","1.666","2.048","2.578","2.786","2.649","3.731","5.368","7.207","10.521","11.801"
"IMF.RES:WEO(6.0.0)","GRC.PPPEX.A","OBS_VALUE","Greece","0.593","0.584","0.575","0.565","0.541","0.53","0.52","0.524","0.528","0.531"
"IMF.RES:WEO(6.0.0)","MYS.PPPEX.A","OBS_VALUE","Malaysia","1.564","1.575","1.606","1.583","1.563","1.523","1.515","1.505","1.425","1.458"
"IMF.RES:WEO(6.0.0)","LAO.PPPEX.A","OBS_VALUE","Lao People's Democratic Republic","2750.925","2807.403","2808.075","2855.975","2902.381","2953.514","3031.697","3328.008","3986.27","4462.388"
"IMF.RES:WEO(6.0.0)","UZB.PPPEX.A","OBS_VALUE","Uzbekistan, Republic of","1011.162","1091.095","1432.907","1799.892","2111.32","2353.383","2591.112","2768.48","3010.589","3319.668"
"IMF.RES:WEO(6.0.0)","ESP.PPPEX.A","OBS_VALUE","Spain","0.638","0.634","0.631","0.632","0.604","0.606","0.591","0.578","0.592","0.596"
"IMF.RES:WEO(6.0.0)","ARM.PPPEX.A","OBS_VALUE","Armenia, Republic of","155.308","154.267","154.787","157.377","147.486","141.941","148.241","149.468","148.11","146.628"
